week,cells,code_lines,markdown_words,source_chars,effective_cells,effective_code_lines,effective_markdown_words,effective_source_chars
1,247,1772,8894,132658,186,1331,6818,100656
2,812,3170,18229,264816,487,1913,11318,161800
3,266,1199,8385,118240,213,961,6985,96689
4,273,4596,13122,295688,202,3448,10050,223300
5,217,1063,6510,86460,164,798,4984,65694
6,391,2390,32191,320265,262,1593,21663,215019
7,72,1316,5942,103709,72,1316,5942,103709
8,169,1157,6334,93081,169,1157,6334,93081
9,183,1702,5252,125012,109,1024,3144,74894
