participantId,ai_group,wave,session_id,eval_start,pre_active_m2_ann,post_active_m2_ann
1070,Default,wave3,15,2026-06-09,-0.002326844402965,-0.002326844402965
1421,Risk-Neutral,wave3,15,2026-06-09,-0.0437720286926518,-0.0329373665468224
1588,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0470953512488402,-0.0958963686286066
1503,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0356121643918193,-0.0356121643918193
2121,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0377416831299306,-0.0188762345538683
1735,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0583279536582422,0.0076760906177555
2376,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0672853112861486,-0.0945721113308362
2049,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0249204179185354,-0.0249204179185354
607,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0665561679965324,-0.0520946887728304
249,Somewhat Risk-Averse,wave3,15,2026-06-09,0.0095459576086339,0.0055222420835802
372,Default,wave3,15,2026-06-09,0.0040543760554012,0.0040543760554012
2107,Extremely Risk-Averse,wave3,15,2026-06-09,0.0040543760554012,0.0076760906177555
2125,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0272637029018721,-0.0348668036988199
1897,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.022434413351163,-0.022434413351163
560,Default,wave3,15,2026-06-09,-0.0283369440083376,-0.0244170496872642
289,Default,wave3,15,2026-06-09,-0.0435879143604653,-0.0254915250773385
1261,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0143197027604161,-0.0377032013251249
25,Default,wave3,15,2026-06-09,-0.0736921546434467,-0.0456513750312073
1787,Risk-Neutral,wave3,15,2026-06-09,-0.0127453958422144,-0.0212606511985361
1012,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0629206078196126,-0.0082458426006447
2235,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0143754792618963,0.011163643121218
1979,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0808773443356512,-0.0808773443356512
1540,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0887666622640822,-0.0887666622640822
1679,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.012827157156367,-0.0311372791300777
965,Risk-Neutral,wave3,15,2026-06-09,-0.0415798703783362,-0.0388678326710175
1407,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0322162550795558,-0.0555350246046206
663,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.095078719302632,-0.095078719302632
2217,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0645248850528789,-0.0567810120289969
2239,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0400628370731999,0.0096040784903715
1995,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0484994341053276,-0.0484994341053276
1583,Somewhat Risk-Averse,wave3,15,2026-06-09,0.029043070255909,0.0144014188369055
1707,Risk-Neutral,wave3,15,2026-06-09,-0.0600860851366421,-0.0704901861596049
466,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0412219317829146,0.0068488171415844
2066,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0135171470721299,0.0106434001343994
506,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0499557747107239,-0.0351468005502461
1704,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0218737373844628,-0.0315363265672585
1478,Risk-Neutral,wave3,15,2026-06-09,-0.0349493400212784,-0.0858303731551979
924,Somewhat Risk-Seeking,wave3,15,2026-06-09,0.0040590610360998,0.0040590610360998
2369,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0679612841119505,-0.0011823915057617
469,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0813338284511176,-0.0813338284511176
35,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0672373941779432,-0.0672373941779432
2134,Default,wave3,15,2026-06-09,-0.0576363411801687,-0.0537437614756945
985,Default,wave3,15,2026-06-09,-0.0594969428663146,-0.0594969428663146
385,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0663007658192062,-0.0663007658192062
817,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0332444136378732,-0.0332444136378732
1946,Default,wave3,15,2026-06-09,4.9772539696696415e-05,-0.0050605876939881
1989,Default,wave3,15,2026-06-09,-0.0439545870509638,-0.0439545870509638
2196,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0676563788400286,-0.0481132988332019
659,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0234275056377038,-0.0251327888573001
1888,Risk-Neutral,wave3,15,2026-06-09,-0.0595275652788735,-0.020711081814287
1414,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.065894343740534,-0.0400055389045466
127,Risk-Neutral,wave3,15,2026-06-09,-0.0329682101000461,-0.0504433000956551
1717,Default,wave3,15,2026-06-09,0.0160797032026162,0.0226566542142635
2276,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0148704022053657,-0.1089893132522126
514,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0718612875652218,-0.0718612875652218
69,Default,wave3,15,2026-06-09,-0.0027544048899344,0.0035769638700124
2115,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0354245585116124,0.0069679461347636
2065,Extremely Risk-Averse,wave3,15,2026-06-09,0.0087935305711989,0.0101739703215974
1883,Risk-Neutral,wave3,15,2026-06-09,-0.0373362810068031,-0.0373362810068031
293,Default,wave3,15,2026-06-09,-0.096061772035827,-0.096061772035827
2248,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0665754224767326,-0.0721149502242329
1851,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0631521208146143,-0.0277478577503783
1800,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0279485160664125,-0.0279485160664125
312,Default,wave3,15,2026-06-09,0.0049337158603634,-0.0021303600674407
2236,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.062963638343276,-0.0499463226048308
103,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.000190366019701,0.0020918033062583
1271,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0680024284312509,-0.092400895872597
1672,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0363497453416614,-0.0636821151406548
2112,Risk-Neutral,wave3,15,2026-06-09,-0.0242797878171079,-0.0338835316165573
1154,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0220526685200944,-0.0220526685200944
1652,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0372150944655719,-0.033881186860476
2332,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0684263839101208,-0.0684263839101208
2173,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0588768512654809,-0.0661241148755906
888,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0515742775064315,-0.0177577743534193
1408,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0078184946237924,0.0011284816985333
1601,Somewhat Risk-Averse,wave3,15,2026-06-09,0.0058410546597192,0.006991509405385
1453,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0221186971581368,-0.0395632413123944
2317,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0197077900995431,-0.0209248941472818
299,Risk-Neutral,wave3,15,2026-06-09,-0.0503843819614257,-0.0516597085673573
1835,Default,wave3,15,2026-06-09,-0.0614220767808024,-0.0678248434007288
165,Risk-Neutral,wave3,15,2026-06-09,0.017406007756411,0.017406007756411
502,Default,wave3,15,2026-06-09,-0.0258131923616062,-0.0233199911640762
176,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0775276859103983,-0.0775276859103983
62,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0860629827862215,-0.0860629827862215
1568,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0443735776322975,-0.0637512215029574
643,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0438801358387757,-0.0438801358387757
2017,Default,wave3,15,2026-06-09,0.0211601146768557,0.0235104025395509
2041,Default,wave3,15,2026-06-09,-0.0383818229936168,-0.0425256815645211
818,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0474124047671051,-0.0474124047671051
2277,Default,wave3,15,2026-06-09,-0.0090044063336847,-0.0220350353738783
1141,Somewhat Risk-Averse,wave3,15,2026-06-09,0.0279760531720354,0.0171369519465681
2367,Risk-Neutral,wave3,15,2026-06-09,-0.0260609092257677,-0.0260609092257677
996,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0248829476342548,-0.0229858794238656
1937,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0707860364975868,-0.0168709288967141
2096,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0094046130018302,-0.0880407300645277
1621,Risk-Neutral,wave3,15,2026-06-09,-0.0700778687288249,-0.0391919631290526
789,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0552043315796258,0.0100047591665508
1116,Risk-Neutral,wave3,15,2026-06-09,-0.019230352152263,-0.0740766689218277
104,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0512256626782563,0.0038609000561374
1171,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0059747935834161,0.0050760582244915
301,Extremely Risk-Averse,wave3,15,2026-06-09,0.0109885560369902,0.0111370082214449
812,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0487879988708503,-0.0487879988708503
407,Risk-Neutral,wave3,15,2026-06-09,-0.069548561354965,-0.0074496221417834
1612,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0075563298791888,-0.0075563298791888
2328,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0852403556674771,-0.0297526816930196
2205,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0339095784212916,-0.0339095784212916
1699,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0132624476299161,-0.0132076461932838
1726,Risk-Neutral,wave3,15,2026-06-09,0.0038984745092754,-0.0372469442684247
121,Risk-Neutral,wave3,15,2026-06-09,0.015549121536022,-0.0113922916650091
1748,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0678118436701614,-0.0678118436701614
1404,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0461344415677126,-0.0292609287192182
1405,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0290712531907878,-0.0290712531907878
2358,Default,wave3,15,2026-06-09,-0.0217981262391517,-0.0217981262391517
1064,Default,wave3,15,2026-06-09,0.0050650759855377,-0.0114866606211025
1184,Somewhat Risk-Seeking,wave3,15,2026-06-09,0.0278220005198677,0.0278220005198677
841,Risk-Neutral,wave3,15,2026-06-09,-0.0142860081059943,-0.0211203466119256
1903,Risk-Neutral,wave3,15,2026-06-09,-0.0212383446757314,-0.0208261359628688
855,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.035623527664349,-0.0334743174764103
1872,Risk-Neutral,wave3,15,2026-06-09,-0.0677566915475717,-0.065172420662948
2108,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0692459005028415,-0.0515115511942414
1099,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0161677309454396,-0.0152447495957866
1525,Risk-Neutral,wave3,15,2026-06-09,0.0110387263384283,0.0110387263384283
445,Risk-Neutral,wave3,15,2026-06-09,-0.0023216014350061,-0.0334396450499962
1535,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0524873926587014,-0.0249701311953963
2016,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0465675308672622,-0.0180614756224244
1906,Default,wave3,15,2026-06-09,-0.0056177841089434,-0.0438209369326555
1071,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0566091708917004,-0.0566091708917004
1327,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0181784390462549,-0.0263443353393324
554,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0689414416656843,-0.0689414416656843
75,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.105668672395502,-0.0255723412646624
690,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0298414196293622,-0.0275314444103749
1539,Default,wave3,15,2026-06-09,-0.0814944070268913,-0.0325336333785777
2091,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0698093700964528,-0.0576475085906914
2139,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0151243016200404,-0.0151243016200404
1804,Default,wave3,15,2026-06-09,-0.0097513061528474,-0.0532020232339137
1332,Default,wave3,15,2026-06-09,-0.0365472382576763,-0.0651518640425381
2123,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0822532721384489,-0.0822532721384489
1362,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0311338139824662,-0.019097267914441
898,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0082552794255362,0.0069679461347636
644,Risk-Neutral,wave3,15,2026-06-09,-0.0720583140656778,-0.0720583140656778
1133,Default,wave3,15,2026-06-09,-0.0512048084792347,-0.0576724088138003
800,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0579777999570792,-0.0501788511284315
1522,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0482503314463255,-0.0482503314463255
738,Risk-Neutral,wave3,15,2026-06-09,-0.0656303125725346,-0.0656303125725346
174,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0531997374398081,-0.0543925719003383
483,Risk-Neutral,wave3,15,2026-06-09,-0.0632055610212945,-0.0632055610212945
1920,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0802667529716803,-0.0330891134657135
