participantId,wave,ai_group,pre_m2_bear,post_m2_bear,pre_m2_neutral,post_m2_neutral,pre_m2_bull,post_m2_bull,pre_m2_bull_q4,post_m2_bull_q4,pre_m2_bull_gt2,post_m2_bull_gt2,pre_m2_all,post_m2_all
1898,wave3,Somewhat Risk-Seeking,0.0210560549939955,0.0080827545010339,0.0030251179723365,0.0019769789095373,-0.0109944265756669,-0.0047305656777325,-0.0136635378396368,-0.0066678508005436,-0.0112488377308723,-0.0051143819981819,0.0043630731685434,0.0017762655761752
132,wave3,Somewhat Risk-Averse,-0.008713227144514,-0.008713227144514,0.0077047302382719,0.0077047302382719,0.0163173208372266,0.0163173208372266,0.0163021353154327,0.0163021353154327,0.0166121205432668,0.0166121205432668,0.0051013372481038,0.0051013372481038
1848,wave3,Default,-0.0169335458148199,-0.0105152705148765,0.0008815908060268,0.0010604482952012,0.006749390773383,0.0004311491722117,0.0078637365445976,0.0002357044847009,0.0065830115531326,0.0001630959529133,-0.0031033100136639,-0.0030103992398107
522,wave3,Extremely Risk-Averse,-0.0059315738362023,-0.0059315738362023,-0.0033087014970346,-0.0033087014970346,-0.0062877925010022,-0.0062877925010022,-0.0070187420869049,-0.0070187420869049,-0.0066209166645855,-0.0066209166645855,-0.0051771738574762,-0.0051771738574762
2285,wave3,Default,0.0246938572081907,0.0300360329951777,-0.0084262231168177,-0.0024638811028196,-0.0337311721936887,-0.0264513798890474,-0.0381878998881431,-0.0308032854557722,-0.034524853904876,-0.0271491328435721,-0.0058195732985425,0.0003753400338433
1910,wave3,Extremely Risk-Seeking,-0.0187272294801142,-0.0187272294801142,0.0058047009757151,0.0058047009757151,0.0214438884265346,0.0214438884265346,0.0236177023797196,0.0236177023797196,0.0218212067929031,0.0218212067929031,0.0028386257810725,0.0028386257810725
1631,wave3,Somewhat Risk-Seeking,0.0222235949595545,0.0222235949595545,-0.00545993207035,-0.00545993207035,-0.0252762703988833,-0.0252762703988833,-0.0296632064616944,-0.0296632064616944,-0.0256892133288321,-0.0256892133288321,-0.002835919069461,-0.002835919069461
716,wave3,Extremely Risk-Seeking,0.0091832956109876,-0.0205740626706436,0.0074840726942344,0.006388750084643,0.0041265259534416,0.023648858572099,0.0022190837740659,0.0258655498279926,0.0046277683123497,0.0240861416514326,0.0069309572880658,0.0031525213491951
1040,wave3,Somewhat Risk-Seeking,0.0327749123549058,-0.0038038663139468,-0.0023389171849671,0.0116980260861038,-0.0284763328215203,0.0193858658836184,-0.0328316384402723,0.019564957868705,-0.0291748889476922,0.0200378590572318,0.0006550655041179,0.0090917360380323
1893,wave3,Default,-0.0025787616522241,0.0018895258540815,0.0054717180580298,0.0077904976227906,0.0160534720873668,0.010908726538509,0.0160163771972388,0.0096532498881812,0.0166835360608434,0.0112754676045217,0.0063159963605106,0.006862344796978
