participantId,experiment,n_reply_turns
426,single,1
1610,single,4
236,single,3
1484,single,0
1220,single,0
247,single,1
1439,single,3
1890,single,0
1565,single,1
397,single,0
730,single,0
1337,single,0
627,single,0
345,single,0
1901,single,0
1122,single,2
1964,single,2
1384,single,1
882,single,3
1977,single,1
126,single,1
1585,single,2
1348,single,0
2237,single,2
880,single,1
2224,single,4
1256,single,0
128,single,0
603,single,0
1049,single,1
20,single,1
1504,single,0
1930,single,2
1078,single,0
793,single,1
1336,single,0
724,single,0
1829,single,1
951,single,1
1622,single,3
642,single,0
803,single,1
1658,single,1
1177,single,1
1479,single,2
1714,single,2
972,single,1
1766,single,2
65,single,2
424,single,0
1354,single,4
1607,single,1
1118,single,1
1952,single,1
1746,single,0
1308,single,1
29,single,0
204,single,4
1791,single,2
1670,single,3
1108,single,1
802,single,1
1624,single,2
388,single,0
399,single,2
1817,single,1
735,single,0
213,single,0
477,single,1
902,single,1
973,single,2
1955,single,1
218,single,2
317,single,0
894,single,1
830,single,0
2282,single,2
1781,single,0
944,single,1
2103,single,1
7,single,0
1123,single,0
578,single,2
2223,single,2
1623,single,1
1456,single,0
1462,single,3
1351,single,1
1841,single,1
979,single,1
1111,single,0
1238,single,0
280,single,2
1732,single,1
1447,single,1
1096,single,1
2090,single,0
1767,single,1
1782,single,4
300,single,0
741,single,0
509,single,0
1594,single,0
135,single,1
279,single,2
273,single,1
2386,single,0
1461,single,3
495,single,4
356,single,0
673,single,0
2310,single,0
1789,single,1
335,single,2
357,single,3
1209,single,2
2258,single,0
854,single,0
1469,single,2
1467,single,2
248,single,2
107,single,1
1940,single,1
147,single,1
244,single,1
2126,single,0
403,single,1
1544,single,3
2252,single,1
392,single,1
1660,single,4
3,single,2
1005,single,1
395,single,1
1517,single,2
1919,single,1
570,single,3
220,single,1
2330,single,0
2395,single,2
913,single,4
1550,single,0
1506,single,1
773,single,1
743,single,0
2032,single,1
538,single,2
926,single,0
2253,single,2
895,single,2
1551,single,3
861,single,1
1170,single,0
779,single,4
1229,single,4
161,single,3
599,single,1
906,single,1
2094,single,2
1885,single,1
2362,single,4
732,single,1
1917,single,0
993,single,2
2053,single,0
197,single,2
210,single,1
1001,single,2
589,single,0
1913,single,1
398,single,1
43,single,3
1634,single,2
2271,single,1
2275,single,1
2389,single,0
1502,single,0
2130,single,3
940,single,1
295,single,2
1234,single,1
2124,single,1
1200,single,2
938,single,0
1584,single,2
1058,single,2
1273,single,0
1724,single,0
919,single,3
281,single,1
1470,single,1
1548,single,1
933,single,1
1581,single,0
505,single,1
2005,single,1
1458,single,2
364,single,1
1923,single,4
2069,single,1
1033,single,0
1438,single,0
90,single,2
2153,single,1
8,single,0
2097,single,2
645,single,1
613,single,1
2179,single,1
2175,single,4
215,single,0
2020,single,4
2183,single,2
953,single,2
315,single,1
1857,single,2
1132,single,1
1341,single,1
2274,single,2
1786,single,0
1505,single,1
1433,single,0
1030,single,1
1119,single,1
376,single,0
2325,single,1
1587,single,0
826,single,1
662,single,2
2078,single,0
1778,single,1
2208,single,0
162,single,2
846,single,1
531,single,0
223,single,1
585,single,4
80,single,2
1532,single,0
250,single,2
1050,single,2
490,single,0
1137,single,0
1135,single,3
439,single,0
1738,single,0
232,single,0
334,single,1
1689,single,0
457,single,3
1887,single,0
157,single,2
781,single,0
2402,single,1
331,single,1
131,single,0
1733,single,0
1870,single,4
2322,single,0
1160,single,0
117,single,1
1105,single,0
1223,single,1
2231,single,0
416,single,0
639,single,1
1441,single,1
1179,single,4
2348,single,1
275,single,0
1302,single,1
380,single,0
1942,single,0
976,single,1
1059,single,1
1849,single,4
709,single,0
2388,single,0
967,single,1
2188,single,0
692,single,1
129,single,0
1394,single,0
696,single,0
1559,single,1
58,single,0
1784,single,1
2075,single,1
452,single,0
1419,single,1
2241,single,3
513,single,0
1294,single,0
40,single,0
2256,single,2
140,single,1
2249,single,0
153,single,0
519,single,3
101,single,2
1450,single,0
343,single,0
668,single,3
2406,single,1
1021,single,1
1727,single,1
1846,single,1
498,single,1
461,single,1
1191,single,1
2408,single,1
1711,single,0
915,single,0
1987,single,4
2057,single,1
2337,single,0
2361,single,0
1645,single,0
2116,single,0
1569,single,1
2088,single,1
1440,single,1
782,single,1
1080,single,1
1721,single,2
311,single,1
1498,single,1
1779,single,0
1676,single,2
2262,single,0
949,single,0
327,single,3
1576,single,0
278,single,3
903,single,0
684,single,1
206,single,1
863,single,4
559,single,0
87,single,0
2060,single,1
2008,single,0
1986,single,1
947,single,1
324,single,1
2006,single,0
579,single,2
1397,single,1
736,single,3
1102,single,0
1526,single,0
1902,single,1
314,single,1
1000,single,1
13,single,0
1128,single,1
2314,single,0
2301,single,1
195,single,1
1572,single,1
964,single,1
307,single,0
269,single,3
1599,single,1
2291,single,0
191,single,0
815,single,1
1019,single,1
1678,single,2
2063,single,0
835,single,4
448,single,3
785,single,0
1876,single,0
1321,single,0
1173,single,1
1198,single,0
657,single,0
1591,single,1
720,single,0
804,single,0
151,single,0
2106,single,2
1905,single,3
1488,single,1
539,single,1
2288,single,2
1743,single,1
1571,single,0
265,single,0
2374,single,1
1632,single,0
1374,single,1
1641,single,1
1966,single,0
358,single,1
1480,single,0
1322,single,1
1392,single,1
555,single,1
1203,single,0
139,single,2
1843,single,1
833,single,0
557,single,2
2182,single,0
971,single,1
744,single,2
1613,single,3
1150,single,0
53,single,0
1972,single,0
282,single,0
1667,single,3
2383,single,1
811,single,0
1547,single,0
2133,single,0
342,single,1
717,single,1
1959,single,2
2064,single,2
1649,single,4
2244,single,1
1731,single,0
1776,single,0
264,single,1
170,single,0
238,single,2
180,single,0
2220,single,1
1886,single,1
628,single,2
1680,single,3
1320,single,0
2336,single,0
1239,single,3
2305,single,2
316,single,1
98,single,0
1176,single,1
23,single,0
1472,single,0
927,single,1
1060,single,1
453,single,1
583,single,2
1024,single,1
1174,single,2
984,single,2
179,single,0
1023,single,2
740,single,2
959,single,0
705,single,2
746,single,0
2022,single,0
671,single,0
2100,single,1
1232,single,1
988,single,0
141,single,0
2245,single,0
79,single,1
1457,single,2
1416,single,0
2068,single,1
353,single,3
651,single,0
1192,single,0
2347,single,0
435,single,0
1895,single,1
168,single,1
778,single,0
729,single,1
349,single,1
1463,single,0
1579,single,1
1093,single,2
386,single,2
1329,single,0
1891,single,1
155,single,0
889,single,0
1838,single,0
1983,single,0
807,single,0
1127,single,1
856,single,0
1087,single,1
1553,single,2
516,single,0
125,single,0
1510,single,1
1396,single,3
240,single,0
105,single,1
568,single,2
552,single,4
1344,single,2
629,single,1
725,single,1
1609,single,0
1993,single,2
1164,single,1
224,single,0
1175,single,0
1196,single,1
2312,single,1
524,single,1
626,single,0
573,single,0
605,single,0
1477,single,1
1146,single,0
1696,single,4
1853,single,0
1136,single,1
914,single,1
133,single,2
2281,single,0
2071,single,1
2140,single,3
728,single,1
2145,single,4
2052,single,1
243,single,1
27,single,4
715,single,1
907,single,2
1359,single,0
1808,single,0
1028,single,1
1403,single,0
391,single,4
1527,single,0
1215,single,0
591,single,2
2149,single,0
697,single,1
2344,single,0
49,single,1
2233,single,1
1376,single,0
881,single,1
1371,single,0
874,single,2
2040,single,1
2093,single,0
465,single,1
497,single,0
2023,single,1
1432,single,1
884,single,0
329,single,2
1662,single,4
421,single,1
1431,single,1
664,single,0
1311,single,0
1411,single,1
68,single,2
1125,single,0
1533,single,1
1101,single,1
46,single,2
989,single,2
2171,single,0
1722,single,1
962,single,3
145,single,1
2189,single,1
2254,single,0
1138,single,1
1338,single,1
1385,single,1
556,single,1
1664,single,0
1582,single,0
431,single,0
2047,single,0
1228,single,1
2204,single,0
1963,single,0
2226,single,0
2042,single,0
541,single,1
1592,single,1
1443,single,0
2213,single,3
941,single,0
1079,single,4
1801,single,2
1142,single,1
225,single,1
792,single,1
1924,single,0
699,single,0
1365,single,0
767,single,0
1752,single,0
1274,single,2
1629,single,1
1061,single,0
24,single,0
484,single,0
148,single,0
268,single,0
876,single,0
934,single,0
1267,single,0
1842,single,0
464,single,0
1217,single,0
63,single,0
2167,single,0
306,single,0
310,single,0
1347,single,0
138,single,0
879,dual,0
1063,dual,1
620,dual,1
1430,dual,2
1253,dual,1
1402,dual,2
1292,dual,0
590,dual,3
1590,dual,1
2375,dual,0
1878,dual,1
654,dual,0
1519,dual,1
2201,dual,0
842,dual,2
550,dual,0
1615,dual,1
1449,dual,0
402,dual,1
1497,dual,0
1961,dual,3
207,dual,0
64,dual,0
1413,dual,1
1095,dual,2
2080,dual,2
274,dual,2
1255,dual,2
1617,dual,0
2343,dual,0
91,dual,3
1245,dual,1
530,dual,1
1082,dual,0
488,dual,0
553,dual,1
302,dual,2
2067,dual,0
4,dual,1
2229,dual,1
1328,dual,1
2202,dual,0
1648,dual,1
1144,dual,1
1029,dual,0
2009,dual,2
1528,dual,0
447,dual,0
287,dual,2
373,dual,2
