Date,SHY,IEF,LQD,GLD,VNQ,SPY,XLF,XLE,XLI,XLP,XLU,AAPL,MSFT,AMZN,GOOGL,NVDA,TSLA,SHOP,SNOW,PLTR,DKNG,RIVN,CRSP,BTC,ETH
2026-05-06,0.001338329764454,0.0049719246637247,0.0049701167080842,0.0303392611823065,0.0138888341897345,0.013899399692774,0.0048458832957378,-0.0412110898078792,0.0258685509280136,0.0021412923974524,-0.0142333188999618,0.0117179249522676,0.0062715193636264,0.0052641290647619,0.0247406622205017,0.0576590753886858,0.024038873016714,-0.0203474390773727,-0.0139016380450877,-0.0155986337933387,-0.0103434008775697,-0.0082192353491786,0.0515464052669329,0.0061842923164892,-0.0043963627204488
2026-05-07,-0.0008505514684518,-0.0030525854027707,-0.0041212806774498,0.001670691560653,-0.0072097439513515,-0.0030660824190705,-0.0055941073276115,-0.0184210277973633,-0.0162266330326706,-0.0030863386901732,-0.0129074923573726,-0.0002435071144024,0.0164508794580107,-0.0138913303840072,-0.0001256598580964,0.0176586540429921,0.0327539869052935,0.0597495758392478,0.1000429023757476,0.0243666187997551,0.0543477940181496,-0.0207181800099846,-0.0482934563122987,-0.0174085968313082,-0.0253931789610115
2026-05-08,0.0008512755220972,0.002639616244511,0.0042302441646364,0.004841540894531,0.0023861260222362,0.0082560970111682,-0.0060135815559835,-0.004468291999555,-0.0045976902364662,0.0023815411079297,-0.0088652245418127,0.0204564978888783,-0.0134277579585917,0.0055683857848436,0.0070604703200225,0.0174940959475693,0.0402146657640121,-0.0119025794441275,-0.0082618023833965,0.0054724551864238,0.0118953668745869,0.0028208717201809,0.0459748902383043,0.0022093920105095,0.0069243808086567
2026-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059561145630133,0.0085632272584021
2026-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0182802215081221,0.0181871981658452
2026-05-11,-0.0009720721034831,-0.0033697944306089,-0.002472471964917,0.0020287362083613,0.0007244974122817,0.0022775630423874,-0.0011709799579689,0.0263913466028156,0.0106235312497764,-0.0096222616407901,0.009391780042008,-0.0012626705737772,-0.0059259923965174,-0.0135323549234274,-0.0303392445922745,0.0197025909621606,0.0388700680733986,-0.0712797978946437,-0.0062315314349578,-0.0066038000141958,-0.0395768107666539,-0.0098453122850753,-0.0149553799404954,-0.0049992471786796,-0.0125295714870474
2026-05-12,-0.0007297401935053,-0.0033812692260498,-0.0033967122884718,-0.0039572098121615,0.0,-0.0015149526145865,0.0078155853356725,0.0069966897331321,-0.0039418812826791,0.0128343869163911,0.0011076620463903,0.0072433892655447,-0.0118500070296652,-0.0117847616091372,-0.00331930737528,0.0061064523193952,-0.0259550287482444,-0.0263312322364906,0.0031682886306207,-0.0065015661744223,0.0040799828860014,-0.0092329627233904,-0.0218477416617149,-0.0153044261941864,-0.0276645159028021
2026-05-13,0.0003651831191704,0.0,0.0005527165294341,-0.0056128998149617,-0.0082739077223111,0.0055948378146111,-0.0114385371496968,0.0010422080929701,-0.0041870796854123,0.0033159395184714,-0.0115069734637892,0.0138059955656342,-0.0062779903800582,0.0162139697533634,0.0394217376785439,0.0228734820470857,0.0272695269898735,-0.0444711035143206,0.0025661231781293,-0.0437499775606042,0.0170662359153817,0.0229391149013493,-0.0015143257293559,-0.0149156611043906,-0.0075032145747423
2026-05-14,-0.0003650498091425,-0.0006361338643808,-0.0006444209817548,-0.0076422962715955,-0.0059442880118227,0.0078943149045545,0.0058835307310483,0.0076349466384446,0.00512614759929,0.0030689427599193,0.0051489071581849,-0.0022083302870553,0.01041434498999,-0.0107726043368332,-0.0038497776707889,0.0438825859788349,-0.0044242847470293,0.0211739686662211,-0.010566388803211,0.0282967519371504,0.0047942040987953,0.0175192706363218,-0.0436018812712899,0.0223788764707975,0.0103466701157008
2026-05-15,-0.0012171839287016,-0.0079566536413624,-0.0063565783732129,-0.0232203906944422,-0.0147922121178477,-0.0120293437567962,-0.0037044633282461,0.023592161975362,-0.0178213522444173,-0.0040009958644865,-0.0229399404082771,0.0067738157309671,0.030505840389261,-0.0115260330746043,-0.01069640167508,-0.0442012272063222,-0.0475073271791499,0.0293574282909732,0.0445078731650054,0.0019442890445815,-0.0059641996344109,-0.0502755146622824,-0.0404360928578206,-0.0244977136379759,-0.0252554157471884
2026-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0118160267665125,-0.0195998464875798
2026-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0089859595569324,-0.0239048710925214
2026-05-18,0.0004875042078475,-0.0004278173277314,-0.0018542270127681,0.002731874973078,0.0117133001388607,-0.0007035093177317,0.0125244984604606,0.0191790434698913,-0.0037922229844606,0.0148866057308163,0.0015956541919657,-0.0079606120673469,0.0038396314185795,0.002725716147488,0.0004032653410523,-0.01331438835878,-0.0290119370105146,0.0210410913047116,0.0429923427953264,0.0085826841505953,0.0312000274658204,-0.0319071487745077,0.0030985648905537,-0.0061369452011545,0.0004093020694022
2026-05-19,-0.0007308067916845,-0.003851512513894,-0.0050158199067984,-0.0165618927827454,0.0028417863786731,-0.0066607880874933,-0.012369575728295,0.0117200660418332,-0.0117715900873687,0.0022118676195619,0.0091032982156689,0.0037939997874918,-0.0144496559751858,-0.0208411587969579,-0.0233788844607415,-0.0076916771060928,-0.0143418254661562,-0.013477851954724,0.0323307195628093,0.0008879319056493,-0.0093095331546088,-0.0337079213543746,-0.0199753128762604,-0.0026413853862292,-0.0087160468168363
2026-05-20,0.0013407767663113,0.0067662070303635,0.00774832565488,0.014337773746013,0.0126993751246018,0.0102489945825634,0.0109588893322081,-0.0243107252200164,0.0117932404615042,-0.0066210474117395,0.0038340343319323,0.0109709963070026,0.0087201792319688,0.021863243262898,0.0032245105653605,0.0129640706579416,0.0325407064678751,0.0396000387625501,-0.0152167607467815,0.0139730849209291,-0.0207517880832684,0.0643410812597076,0.020172285803627,0.0092098871796708,0.0080662666857354
2026-05-21,-0.0001217425258286,0.0006400698246111,0.0020379846802462,-0.0009822799906678,0.001865492019033,0.0019830877010671,0.0013550117427929,-0.0112039559066142,-0.0011714375307978,-0.0100560220969461,0.0110088014520619,0.0090653109491314,-0.0025229027109182,0.0130183070915106,-0.0032141465159613,-0.0177205373618404,0.0014139776735901,-0.001428449888843,-0.0085644602270805,0.0019321866674557,0.0155937379479933,0.0305899555933659,0.0278064327504219,0.0010508749979196,0.0020814671600175
2026-05-22,-0.0002434215398717,0.0008528261229536,0.001848983841215,-0.0076020599640161,0.0010344723808692,0.0039315490768039,0.0040595345114453,0.0060882717530663,0.0072715204165609,0.001653706702267,0.0077776712321286,0.0125578452161676,-0.0012407573986867,-0.0079713335281748,-0.0120982161846232,-0.0190423729875162,0.0195285474283033,-0.0177379420134005,0.0402319918582918,-0.0038932316665498,-0.0110235741536234,0.0049470424300834,0.0092184182446186,-0.0264502397679237,-0.0313283983130853
2026-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156994647862689,0.0248539835561001
2026-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040138815313457,-0.0084867352791419
2026-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038815318365379,0.0063758359193346
2026-05-26,0.0010958965889578,0.0042608233139622,0.0037832941866691,0.0004349540200945,0.0046501957882987,0.0066386413521875,-0.0017327978667814,-0.027567728682899,0.014728984599569,-0.0137973038641039,-0.0004408777293171,-0.0015867519601431,-0.0060683004048935,-0.0038675230961635,0.0154319958984727,-0.0021826918622399,0.0177929776261263,0.0184466167561059,0.0313589387396824,-0.0020455783847801,-0.0521497344556216,0.0119549981084119,0.0244241367618947,-0.0188172442493205,-0.0191876365100467
2026-05-27,0.0001216536746064,0.0004242420945428,0.0013789615399482,-0.0133092023324274,-0.0030857810395388,-0.000173242164746,-0.0082931214741331,-0.0148659251990808,0.0,0.0113596184903992,-0.0041915408485947,0.0081731250316108,-0.0080763054621572,0.0247276465275658,-0.0001286197568898,-0.0105184813041867,0.01561380352603,0.0162058810630503,-0.0131757405194895,-0.0299415184035956,0.0529189524209829,0.0215427003854262,0.0376041601273704,-0.0195320396460056,-0.02349746263809
2026-05-28,0.0004865555071607,0.0023324637826542,0.0030294393449155,0.0104776099332108,-0.0038175079976126,0.0055165786009099,-0.0029171277101746,-0.0007018990174222,-0.002868654282753,-0.0017734396955115,-0.0112981698827335,0.0053402079122255,0.0347007932262766,0.0079087505911834,0.0033434443979794,0.007761016341909,0.0039513598188627,0.0790806794169167,0.3648294216904835,0.081729697985128,-0.021539649571284,0.0340136058835087,0.0532412171457141,-0.0108702893888917,-0.0072423699650027
2026-05-29,0.0004862258640532,0.0011635585133495,0.0009152689971236,0.0105385716483654,-0.0088038234640441,0.0024914048034492,0.0060464233846306,-0.0115890973591179,-0.0038549745903126,-0.0180030250716254,-0.0047054455756407,-0.0014399929377262,0.0544509251545641,-0.012262720261177,-0.0250942596239289,-0.0145157037469922,-0.0142727832424329,0.0319916573435459,0.0683528691977928,0.0920887211209791,-0.0016306936162916,0.0723683843156963,-0.003547370683761,-0.0022306083103439,0.0022045653766489
2026-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052105676905831,0.0037176024843394
2026-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023747383513729,-0.0074855220226166
2026-06-01,-0.0005727368873702,-0.0017279426483177,-0.0001560935082047,-0.0140486800444945,-0.0168233915449713,0.0027231134609038,-0.0029080787651174,0.017942748578523,-0.0042164966588478,-0.0106139591970088,-0.0297163004841947,-0.0184259438729257,0.0228322650192525,-0.0346586032187338,-0.0104380050613618,0.0626124588791841,-0.0456871503974763,0.0455732769255576,0.0963020947621244,0.0262552752435543,0.0751327141602451,0.0398773960922052,-0.0354218879967407,-0.0307138306682805,-0.0005589672711203
2026-06-02,0.0,0.0007433332928246,-9.182168550858628e-05,0.0016777766498607,0.0045700487083035,0.0013579397972762,0.0005832525245248,0.0115183091602797,0.0103828722977332,-0.0024381545621792,0.0185615243920795,0.0290229333658524,-0.0417136973711423,-0.0181429249589532,-0.0385790306785995,-0.0068639720451515,0.0188996471561004,-0.0572832779005667,-0.0678897371682333,-0.0527855340785333,-0.0391189019988622,0.0200590051495035,-0.0400442558394118,-0.0647242267468118,-0.0726354550544448
2026-06-03,-0.0004877565478037,-0.0025466666936523,-0.0027542731124358,-0.0099041557687665,-0.0011636974914179,-0.0070171823204998,-0.0114652112202481,0.0129399414361583,-0.0008037620242684,0.0040327781988889,-0.0043280764502077,-0.0156725959710989,-0.0316557551335516,-0.0253390964431411,-0.007903866515702,-0.0362175857886323,-9.43456559803213e-05,-0.0347833486071187,-0.0760512167998358,-0.065518836437351,-0.0075098273691117,0.0566801324664034,0.0011534289266246,-0.040316966320718,-0.0247529768546153
2026-06-04,0.0007319453178022,0.0012766249636386,0.0021174343741792,0.0083359745438187,0.0179006182094947,0.0037786857621391,0.0259484833559904,0.0006813358606874,0.012122990055144,-0.0014606341289633,0.0052619925272345,0.0031264139436979,0.0016614205577816,0.0150787494970343,0.0367698783007872,0.0193939564667102,-0.0123908422203082,0.0274481884815736,0.0120192055336383,-0.003516174477711,0.0103544493254472,-0.0082101595386951,0.0935099608422218,-0.0033241439086123,-0.0232659832818467
2026-06-05,-0.0020723902410714,-0.0053123670357962,-0.0062471319679204,-0.036545333189379,0.0071800600482077,-0.0258093712489256,0.0021076702252686,-0.0183830196772715,-0.011239884937144,0.0170649090569769,0.0093308981451436,-0.0124988417283716,-0.0265856201139256,-0.0305764400178182,-0.0098337452195248,-0.0620140735913812,-0.0655992625313872,-0.0560151667417837,-0.0242444030900017,-0.0435426838519903,-0.0173433393576076,-0.0976821399440153,-0.0897278409463503,-0.0451228090411904,-0.106646586284433
2026-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009069515189049,-0.0076497180166932
2026-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389716814043434,0.0749814902642485
2026-06-08,0.000488650320414,-0.0010682129948909,-0.0010169234742868,0.0025994316693971,-0.0136378188332374,0.0022641726087715,-0.0063097118839384,0.0114444770606114,-0.0031575358802512,-0.0044343736091656,-0.0187147706014697,-0.018871568497685,-0.011831960627074,-0.0032922715222234,-0.0135755207112034,0.0172598399843351,0.0459079596087754,0.0113200461329716,0.0091916498442772,0.0069357518621171,-0.0060168317967943,0.029969404262125,-0.0046296619938341,-0.0023550097882448,0.0022250520052251
2026-06-09,0.0004884116579009,0.0027801769200528,0.0032389978847244,-0.0163364724591659,0.0230438868910749,-0.0029354505508077,0.0094285038516677,-0.0161152069558916,0.011345959845791,0.0123991930915796,0.0105698422387907,-0.0364463104083114,-0.0202311817405055,-0.0042003049268801,0.0026148804420886,-0.002156810532777,-0.0300037147939692,-0.0032496896038858,-0.003285478461881,-0.0322414732697816,0.1133978768393155,-0.0659145249580643,-0.002325560764211,-0.0229322407245384,-0.031027979306495
2026-06-10,0.0,-0.00095965386076,-0.0023060602486389,-0.0414555818046885,0.0001024432478198,-0.0157655625080272,-0.0043843182634296,0.0149852136251562,-0.0338269274290197,0.0165279751519955,0.0004547858617638,0.0035449968080218,-0.0149971945554783,-0.0253491231398449,-0.0216329124020029,-0.0373216973982588,-0.0380407295969276,-0.0201050648208349,0.0010013779133266,-0.0140834444400798,0.0434940469845157,-0.0616655652627302,-0.0396270577635425,-0.0031550982687325,-0.0107277878887691
2026-06-11,0.0018305332196155,0.0069377081817334,0.0085058999426383,0.0313418259725635,-0.0007166353077981,0.0169968478867479,0.0074670261315132,-0.0193991591600148,0.0323587805454403,-0.0025734777409182,0.0011363605627392,0.013889904990249,-0.0176665725600452,0.0147478760791426,0.0039002865250996,0.0222033578929137,0.0460179714539599,0.0209797073612376,0.0020425406654054,0.0066814766325855,0.0427231505078886,0.0528455095444317,0.0159789833630894,0.0343659895373587,0.0321842671069263
